18 24
0 1 1 1 1 99.9
1 1 1 1 1 99
2 1 1 1 1 99
3 1 1 1 1 90
4 1 1 1 1 90
5 1 1 1 1 90
6 1 1 1 1 99.99
7 1 1 1 1 99.99
8 0 0 2 1 99.9
9 0 0 2 1 99.99
10 0 0 2 1 99.9
11 0 0 2 1 99
12 0 0 3 1 90
13 0 0 3 1 99.99
14 0 0 3 1 90
15 0 0 3 1 90
16 0 0 4 1 99
17 0 0 4 1 90
0 8 0 1000 1 93.30490
1 8 1 1000 1 89.26371
2 9 2 1000 1 93.22173
3 9 3 1000 1 95.02091
4 10 4 1000 1 89.12370
5 10 5 1000 1 86.17841
6 11 6 1000 1 90.15916
7 11 7 1000 1 97.18369
8 12 8  10000 1 90.09976
9 13 8  10000 1 89.12006
10 12 9  10000 1 87.31289
11 13 9  10000 1 99.00999
12 14 10  10000 1 90.28820
13 15 10  10000 1 96.01448
14 14 11  10000 1 87.06229
15 15 11  10000 1 95.12931
16 16 12  10000 1 89.00756
17 16 13  10000 1 93.02212
18 16 14  10000 1 89.00470
19 16 15  10000 1 87.08386
20 17 12  10000 1 86.28604
21 17 13  10000 1 93.00516
22 17 14  10000 1 90.30194
23 17 15  10000 1 95.06897
